the_geom,apn,name,Address,LandmarkNo,YearDesignated,DesignationDocument,Photo,PIMLink
"MULTIPOLYGON (((-122.41959699620429 37.778474537170325, -122.41960124460167 37.77847742309473, -122.4196055586495 37.778480249663914, -122.41960993205265 37.778483016877885, -122.41961436660966 37.77848572293789, -122.41961885962257 37.778488366944714, -122.41962341109144 37.77849094799899, -122.41962801921761 37.77849346700003, -122.41963268040377 37.778495921249885, -122.41963739375063 37.778498308050644, -122.4196421610568 37.778500631898794, -122.41964697782566 37.778502888297794, -122.41965184405728 37.778505078146964, -122.41965675615427 37.77850719964772, -122.41966171591537 37.77850925279995, -122.41966671884393 37.77851123670433, -122.41967176493989 37.77851315315962, -122.41967685330405 37.77851499676984, -122.41968198123834 37.77851677113222, -122.41968714694417 37.77851847444816, -122.4196923486229 37.77852010401972, -122.41969758627448 37.77852166344417, -122.41970285810032 37.77852314912417, -122.41970815960377 37.77852456105978, -122.41971606464455 37.778526517085254, -122.41998516788112 37.77985771606092, -122.41997961816475 37.779861109202955, -122.41997414489077 37.77986457698876, -122.4199687480592 37.7798681230156, -122.4199634285693 37.77987174008888, -122.41995819091767 37.77987543180586, -122.41995303600373 37.77987919636797, -122.41994796292806 37.77988302927855, -122.41994297618731 37.7798869332355, -122.41993807488217 37.7798909064403, -122.41993326171058 37.77989494619493, -122.41992853757188 37.779899051600125, -122.41992390696265 37.7799032217564, -122.41991936718495 37.7799074557646, -122.4199149218361 37.779911752725354, -122.41991057091604 37.77991610994064, -122.41990631622343 37.7799205283099, -122.4199021595569 37.77992500243704, -122.41989810181587 37.77992953502019, -122.41989414479883 37.77993412156263, -122.41988928756047 37.77993999863219, -122.41881912670124 37.78007627739845, -122.41881549523885 37.78007351018448, -122.41881180172317 37.78007079513122, -122.41880804885227 37.78006813223868, -122.41880423932412 37.78006552060742, -122.4188003731386 37.78006296113688, -122.41879645029587 37.78006045562569, -122.41879247259442 37.78005800767107, -122.41878844183304 37.78005561277644, -122.41878435981027 37.780053273639794, -122.41878022742549 37.780050993858424, -122.41877604287998 37.78004876983499, -122.41877181336838 37.78004660516683, -122.41876753529345 37.780044498055304, -122.41876320955441 37.78004245119831, -122.41875884334587 37.78004046459591, -122.41875443217123 37.78003853824811, -122.41874997872844 37.780036673953475, -122.41874194688324 37.78003350564194, -122.4184661922609 37.778669302446474, -122.41846988667584 37.7786665370312, -122.41847352083624 37.778663721253906, -122.41847709114472 37.77866085511454, -122.41848059670207 37.77865794131111, -122.41848404020618 37.778654978044926, -122.41848741716046 37.77865196801406, -122.4184907266656 37.778648912117774, -122.4184939696209 37.77864581125533, -122.41849714422773 37.77864266542679, -122.41850024688881 37.7786394746322, -122.41850328120137 37.778636243368055, -122.41850624176953 37.778632969835826, -122.4185091321906 37.778629655834095, -122.41851194796794 37.77862630226218, -122.41851468910153 37.77862291001941, -122.41851735739004 37.77861948000515, -122.41851994833684 37.778616014917304, -122.41852333698233 37.77861126020167, -122.41959699620429 37.778474537170325)))",0787001,San Francisco City Hall,400 Van Ness Avenue,21,1970,https://sfplanninggis.org/docs/landmarks_and_districts/LM21.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/21.jpg,https://sfplanninggis.org/pim?search=0787/001
"MULTIPOLYGON (((-122.40302745515282 37.79654513574957, -122.40305793857294 37.79670813607174, -122.40297168459546 37.79671887127904, -122.40293930630384 37.7965561065792, -122.40302745515282 37.79654513574957)))",0175010,"Solari Building East (Larco
Building)",468-470 Jackson Street,22,1970,https://sfplanninggis.org/docs/landmarks_and_districts/LM22.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/22.jpg,https://sfplanninggis.org/pim?search=0175/010
"MULTIPOLYGON (((-122.4253091561925 37.77285572321318, -122.42541378871528 37.772842416844185, -122.42547944821786 37.77316783023133, -122.42537503872694 37.77318110782204, -122.42529817277239 37.77319088255331, -122.42527433624156 37.77307315590156, -122.42523229023789 37.77286549884383, -122.4253091561925 37.77285572321318)))",0852033,McMorry-Lagan Building,188-198 Haight Street,164,1983,https://sfplanninggis.org/docs/landmarks_and_districts/LM164.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/164.jpg,https://sfplanninggis.org/pim?search=0852/033
"MULTIPOLYGON (((-122.40312735993962 37.796532701722924, -122.40315973823124 37.79669546642276, -122.40305793857294 37.79670813607174, -122.40302745515282 37.79654513574957, -122.40312735993962 37.796532701722924)))",0175010,Solari Building West,472 Jackson Street,23,1970,https://sfplanninggis.org/docs/landmarks_and_districts/LM23.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/23.jpg,https://sfplanninggis.org/pim?search=0175/010
"MULTIPOLYGON (((-122.40265826007055 37.79675787937276, -122.40248691763702 37.79677920319784, -122.40245280815049 37.79661665523457, -122.40262588177893 37.796595114672925, -122.40265826007055 37.79675787937276)))",0175007,Yeon Building,432 Jackson Street,24,1970,https://sfplanninggis.org/docs/landmarks_and_districts/LM24.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/24.jpg,https://sfplanninggis.org/pim?search=0175/007
"MULTIPOLYGON (((-122.40320158278672 37.79652346298758, -122.40340691419766 37.79649790785231, -122.4034392933886 37.79666067165283, -122.40323396197766 37.79668622768742, -122.40320158278672 37.79652346298758)))",0175012,"Bank Of Lucas; Turner &
Company",800-802 Montgomery Street,26,1970,https://sfplanninggis.org/docs/landmarks_and_districts/LM26.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/26.jpg,https://sfplanninggis.org/pim?search=0175/012
"MULTIPOLYGON (((-122.40208523184788 37.796662401049105, -122.40211934043509 37.79682494991164, -122.40201965598226 37.79683735605926, -122.40198554559635 37.7966748062974, -122.40208523184788 37.796662401049105)))",0175004,Grogan-Atherton-Lent Building,701 Sansome Street,27,1970,https://sfplanninggis.org/docs/landmarks_and_districts/LM27.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/27.jpg,https://sfplanninggis.org/pim?search=0175/004
"MULTIPOLYGON (((-122.43081842193254 37.777891917678005, -122.43100631908624 37.777867971429885, -122.43106117593243 37.77813913231523, -122.43108174792422 37.778240815961055, -122.43089384897183 37.778264763108496, -122.43087327787936 37.77816307856335, -122.43081842193254 37.777891917678005)))",0780013,Old Holy Virgin Russian Orthodox Church,858-864 Fulton Street,28,1970,https://sfplanninggis.org/docs/landmarks_and_districts/LM28.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/28.jpg,https://sfplanninggis.org/pim?search=0780/013
"MULTIPOLYGON (((-122.46719450762032 37.76302439755807, -122.46720025518755 37.76310666214289, -122.46678576125379 37.763124864421115, -122.46678001368662 37.76304259983624, -122.46719450762032 37.76302439755807)))",1764031,Old Fire House,1348 10th Avenue,29,1970,https://sfplanninggis.org/docs/landmarks_and_districts/LM29.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/29.jpg,https://sfplanninggis.org/pim?search=1764/031
"MULTIPOLYGON (((-122.42355649443658 37.805395133778575, -122.42370771543864 37.80614078327068, -122.4222933930256 37.80632068814941, -122.42214309292928 37.80557492264472, -122.42355649443658 37.805395133778575)))",0452003,Ghirardelli Square,900 North Point Street,30,1970,https://sfplanninggis.org/docs/landmarks_and_districts/LM30.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/30.jpg,https://sfplanninggis.org/pim?search=0452/003
"MULTIPOLYGON (((-122.39068882233119 37.77925686461276, -122.39102350413134 37.779525260082835, -122.39093779694167 37.77959300781123, -122.39073133957959 37.77975620238698, -122.39039665688011 37.779487807816224, -122.39068882233119 37.77925686461276)))",3794023,Garcia And Maggini Warehouse,128 King Street,229,2002,https://sfplanninggis.org/docs/landmarks_and_districts/LM229.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/229.jpg,https://sfplanninggis.org/pim?search=3794/023
"MULTIPOLYGON (((-122.42627501188218 37.79682417019944, -122.42619959563473 37.79645085532286, -122.42651118194539 37.79641142544705, -122.42655911581045 37.79664869807908, -122.42658549562401 37.79677927514359, -122.4265865918976 37.79678469715617, -122.42652835180189 37.796792076093595, -122.42627501188218 37.79682417019944)))",0552029,Burr House,1772 Vallejo Street,31,1970,https://sfplanninggis.org/docs/landmarks_and_districts/LM31.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/31.jpg,https://sfplanninggis.org/pim?search=0552/029
"MULTIPOLYGON (((-122.43802258237616 37.77258090388574, -122.43810797300443 37.77256996003575, -122.43818406913937 37.77294405732255, -122.4380132869835 37.77296594502246, -122.43793719264721 37.772591848635045, -122.43802258237616 37.77258090388574)))",1218050,Abner Phelps House,1111 Oak Street,32,1970,https://sfplanninggis.org/docs/landmarks_and_districts/LM32.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/32.jpg,https://sfplanninggis.org/pim?search=1218/050
"MULTIPOLYGON (((-122.4243809362311 37.79022707821724, -122.42458596277186 37.79020102036094, -122.42466153010542 37.790574126594834, -122.4245330466627 37.79059045738387, -122.42445650266535 37.79060018624972, -122.4243809362311 37.79022707821724)))",0641004,Lilienthal-Orville Pratt House,1818-1820 California Street,55,1973,https://sfplanninggis.org/docs/landmarks_and_districts/LM55.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/55.jpg,https://sfplanninggis.org/pim?search=0641/004
"MULTIPOLYGON (((-122.40506393575197 37.79647820820287, -122.40509406573847 37.79662843095747, -122.40490570633318 37.7964979815967, -122.40506393575197 37.79647820820287)))",0176013,"Sentinel Building/Columbus
Tower",916-920 Kearny Street,33,1970,https://sfplanninggis.org/docs/landmarks_and_districts/LM33.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/33.jpg,https://sfplanninggis.org/pim?search=0176/013
"MULTIPOLYGON (((-122.40367435368836 37.79436330492274, -122.40370774191865 37.79452540412427, -122.40323649356924 37.79458560114472, -122.40316960829068 37.794260849658656, -122.40363945279842 37.794200961105616, -122.40367292826295 37.79436348478714, -122.40367435368836 37.79436330492274)))",0227048,"U.S. Mint & Subtreasury
Building",608-610 Commercial Street,34,1970,https://sfplanninggis.org/docs/landmarks_and_districts/LM34.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/34.jpg,https://sfplanninggis.org/pim?search=0227/048
"MULTIPOLYGON (((-122.42170644959288 37.78235235897432, -122.4217722412958 37.782677756173655, -122.4216355767204 37.782695161652555, -122.4215697859168 37.7823697635539, -122.42170644959288 37.78235235897432)))",0743015,Stadtmuller House,819 Eddy Street,35,1970,https://sfplanninggis.org/docs/landmarks_and_districts/LM35.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/35.jpg,https://sfplanninggis.org/pim?search=0743/015
"MULTIPOLYGON (((-122.41676146616862 37.798052954380466, -122.41683609820728 37.79842870731915, -122.41661050776861 37.79845719874089, -122.41653598095064 37.79808197190562, -122.41657880037127 37.79807646175942, -122.41676146616862 37.798052954380466)))",0126022A,"Feusier Octagon House/Kenny
Residence",1067 Green Street,36,1970,https://sfplanninggis.org/docs/landmarks_and_districts/LM36.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/36.jpg,https://sfplanninggis.org/pim?search=0126/022A
"MULTIPOLYGON (((-122.40279089838117 37.79005732128849, -122.40314326175206 37.790012406447545, -122.40320079228263 37.790291737673726, -122.40332297777309 37.790276162315195, -122.40333200067118 37.79032213116159, -122.40334832876226 37.79040140999723, -122.4033548119749 37.79043343305665, -122.40323782456585 37.79044834471546, -122.40322386978568 37.790380586195226, -122.40286684612795 37.790426094588724, -122.40284765909212 37.7903329257241, -122.40282847115691 37.7902397559601, -122.40279089838117 37.79005732128849)))",0288030,Hallidie Building,130-150 Sutter Street,37,1971,https://sfplanninggis.org/docs/landmarks_and_districts/LM37.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/37.jpg,https://sfplanninggis.org/pim?search=0288/030
"MULTIPOLYGON (((-122.43289128190702 37.794041903411255, -122.4330616962402 37.794020125428574, -122.43309422921521 37.79418061214568, -122.4327446672325 37.79422528327035, -122.43271332675852 37.79407020687472, -122.43272196744476 37.79406910430589, -122.43289238087857 37.79404732632321, -122.43289128190702 37.794041903411255)))",0580013,Bourne Mansion,2550 Webster Street,38,1971,https://sfplanninggis.org/docs/landmarks_and_districts/LM38.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/38.jpg,https://sfplanninggis.org/pim?search=0580/013
"MULTIPOLYGON (((-122.42962258891123 37.76848525908758, -122.42962994176833 37.76856193618454, -122.42963786479555 37.76864457308875, -122.42921037385958 37.76867033326943, -122.4291952481621 37.76851101027506, -122.42962258891123 37.76848525908758)))",3537010,Saint Francis Lutheran Church,152 Church Street,39,1971,https://sfplanninggis.org/docs/landmarks_and_districts/LM39.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/39.jpg,https://sfplanninggis.org/pim?search=3537/010
"MULTIPOLYGON (((-122.4229767060101 37.78462643056548, -122.42299664308052 37.78462778584378, -122.42301268788515 37.784629129430925, -122.42302869941483 37.78463069335197, -122.42304467497166 37.78463247940556, -122.42306060826036 37.78463448579305, -122.42307649568363 37.78463671431308, -122.42309233094625 37.78463915956968, -122.42310811135019 37.784641826958875, -122.42312382880158 37.784644710185376, -122.4231394824011 37.78464781194708, -122.42315506315555 37.78465113044547, -122.42317057016561 37.78465466298246, -122.42318599803531 37.78465841135676, -122.42320133867076 37.784662371971024, -122.42321659207198 37.784666543026674, -122.42323175014508 37.78467092632235, -122.42324681109136 37.78467551826071, -122.42326176591769 37.784680320640405, -122.42327661642264 37.784685326266924, -122.42329135181433 37.784690536938854, -122.42330597119354 37.78469595175693, -122.42332046916425 37.7847015689224, -122.42333484212918 37.7847073848381, -122.42334908379308 37.784713400403234, -122.42336319235733 37.78471961112132, -122.42337716062735 37.78472601609292, -122.42339098680452 37.78473261262013, -122.42340466729149 37.78473940340092, -122.42341819489371 37.784746379442026, -122.42343156691317 37.78475354344141, -122.42344477885337 37.78476089000321, -122.42345782801624 37.784768419127374, -122.42347070990525 37.78477612811599, -122.42348342002373 37.784784014271, -122.42349595477441 37.78479207489448, -122.42350830966069 37.78480030998645, -122.42352048288387 37.784808710553705, -122.42353246814878 37.784817281992105, -122.42354426365677 37.78482601710715, -122.4237999463104 37.785056972001826, -122.42381251883256 37.785068903307376, -122.42382423520019 37.78507961693094, -122.42383618359293 37.785090165978545, -122.42384836401072 37.78510054775222, -122.42386077015834 37.78511076135271, -122.4238733984385 37.78512079868608, -122.42388624615324 37.78513066065159, -122.42389930790665 37.785140343652074, -122.4239125810007 37.7851498440902, -122.42392606093887 37.78515915926795, -122.4239397441238 37.78516828558804, -122.4239536260589 37.78517722215122, -122.42396770134826 37.78518596536014, -122.42398196729386 37.78519451071821, -122.42399642029847 37.78520285732617, -122.42401105226816 37.785211005183896, -122.42402586230361 37.785218945298254, -122.4240408450089 37.785226681266465, -122.42405599588739 37.78523420679335, -122.42407131044251 37.78524152277822, -122.42408678058035 37.785248624724375, -122.42410240720022 37.78525551263192, -122.42411818220825 37.78526218290358, -122.42413410200709 37.78526863284128, -122.42415015940225 37.78527486064644, -122.4241663516957 37.785280867218376, -122.42418267618945 37.78528664716117, -122.42419912299101 37.78529219957551, -122.42421569030176 37.78529752356201, -122.42420745790776 37.7852968175942, -122.42406782107298 37.78529058709108, -122.4237846983051 37.78529314476299, -122.42367445311345 37.78530186189158, -122.42358955261568 37.78531451535275, -122.42354345786418 37.78532261284846, -122.4234954736371 37.785328603232585, -122.42336990939373 37.78534436744877, -122.42312823458025 37.78537578706306, -122.4229767060101 37.78462643056548)))",0713034,First Unitarian Church,1187 Franklin Street,40,1971,https://sfplanninggis.org/docs/landmarks_and_districts/LM40.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/40.jpg,https://sfplanninggis.org/pim?search=0713/034
"MULTIPOLYGON (((-122.42357289267477 37.78397844744751, -122.42364833320391 37.7843515132119, -122.42340916839834 37.784381975947554, -122.42333372786914 37.7840089092839, -122.42357289267477 37.78397844744751)))",0720028,St. Marks Lutheran Church,1111-1135 O'Farrell  Street,41,1971,https://sfplanninggis.org/docs/landmarks_and_districts/LM41.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/41.jpg,https://sfplanninggis.org/pim?search=0720/028
"MULTIPOLYGON (((-122.41149204422237 37.789912714800096, -122.41166951373697 37.78989048535777, -122.41172448299841 37.790160910597706, -122.41173137180527 37.79019480334762, -122.41174486073663 37.79026116971738, -122.4116770662435 37.79026968090119, -122.41158819344031 37.79028083878984, -122.41156740021523 37.790283448622404, -122.41149204422237 37.789912714800096)))",0274010,Dennis T. Sullivan Memorial Home,870 Bush Street,42,1971,https://sfplanninggis.org/docs/landmarks_and_districts/LM42.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/42.jpg,https://sfplanninggis.org/pim?search=0274/010
"MULTIPOLYGON (((-122.41234840925159 37.79523842891052, -122.41219191822233 37.79525843432941, -122.41214942705432 37.79504828165301, -122.4120711806404 37.795058283912795, -122.41206240865313 37.79501489791937, -122.41186935658544 37.79503957711495, -122.41182835559403 37.795044818363806, -122.41182945186762 37.79505024127576, -122.4117901586888 37.79505526398941, -122.41159370808305 37.79508046389242, -122.41149330417255 37.79458386275519, -122.41213990143518 37.794502806859214, -122.4122147223315 37.79487572963137, -122.4122735820601 37.79486835159332, -122.41234840925159 37.79523842891052)))",0190005,Cable Car Barn And Power House,1201 Mason Street,43,1971,https://sfplanninggis.org/docs/landmarks_and_districts/LM43.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/43.jpg,https://sfplanninggis.org/pim?search=0190/005
"MULTIPOLYGON (((-122.40823316372945 37.79318315787657, -122.40851000203486 37.793148170651705, -122.40858665844746 37.793522165415766, -122.40831213139967 37.79355702673553, -122.40827393359507 37.793370663825215, -122.40827165471302 37.79337095160827, -122.40823316372945 37.79318315787657)))",0224008,Donaldina Cameron House,920 Sacramento Street,44,1971,https://sfplanninggis.org/docs/landmarks_and_districts/LM44.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/44.jpg,https://sfplanninggis.org/pim?search=0224/008
"MULTIPOLYGON (((-122.43587138875347 37.79272824930939, -122.43593546365065 37.79272011134418, -122.43596154488927 37.79284890865034, -122.43601006511233 37.79308851592242, -122.43586058339912 37.793107622918626, -122.43578595765575 37.79273909873058, -122.43587138875347 37.79272824930939)))",0587018,Leale House,2475 Pacific Avenue,45,1972,https://sfplanninggis.org/docs/landmarks_and_districts/LM45.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/45.jpg,https://sfplanninggis.org/pim?search=0587/018
"MULTIPOLYGON (((-122.42466153010542 37.790574126594834, -122.42458596277186 37.79020102036094, -122.42505615711588 37.79014125681368, -122.42513172804672 37.79051436304758, -122.42506782671876 37.790522484824976, -122.42498240011759 37.79053334413868, -122.42486655934414 37.79054806693989, -122.42466836495299 37.79057325695038, -122.42466153010542 37.790574126594834)))",0641005,"Isaac Wormser House/John C.
Coleman House",1834 California Street,53,1973,https://sfplanninggis.org/docs/landmarks_and_districts/LM53.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/53.jpg,https://sfplanninggis.org/pim?search=0641/005
"MULTIPOLYGON (((-122.42445650266535 37.79060018624972, -122.42419133396282 37.79063388744407, -122.42411576662926 37.790260781210236, -122.4243809362311 37.79022707821724, -122.42445650266535 37.79060018624972)))",0641014,Edward Coleman House,1701 Franklin Street,54,1973,https://sfplanninggis.org/docs/landmarks_and_districts/LM54.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/54.jpg,https://sfplanninggis.org/pim?search=0641/003
"MULTIPOLYGON (((-122.45268656073608 37.790613587047574, -122.45261660427275 37.79026733456999, -122.45282240423046 37.790241125627574, -122.45289236159311 37.79058737720584, -122.45278946026531 37.790600482126706, -122.45268656073608 37.790613587047574)))",0970002,Roos Residence,3500 Jackson Street,56,1973,https://sfplanninggis.org/docs/landmarks_and_districts/LM56.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/56.jpg,https://sfplanninggis.org/pim?search=0970/002
"MULTIPOLYGON (((-122.42458188884302 37.794739952686825, -122.4247732348968 37.794715513610186, -122.42484307534755 37.79506177957762, -122.42465172659581 37.795086219553525, -122.42458188884302 37.794739952686825)))",0575010,Talbot-Dutton House,1782 Pacific Street,57,1973,https://sfplanninggis.org/docs/landmarks_and_districts/LM57.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/57.jpg,https://sfplanninggis.org/pim?search=0575/010
"MULTIPOLYGON (((-122.43329261336334 37.803479524760405, -122.43338863757549 37.80395615735091, -122.43298536178492 37.804007489753985, -122.432947163081 37.80381788208973, -122.43317984287535 37.803788265616106, -122.43312201736711 37.803501241589174, -122.43329261336334 37.803479524760405)))",0459003,Merryvale Antiques (S.F. Gas Light Co.),3640 Buchanan Street,58,1974,https://sfplanninggis.org/docs/landmarks_and_districts/LM58.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/58.jpg,https://sfplanninggis.org/pim?search=0459/003
"MULTIPOLYGON (((-122.41991160243839 37.80759641244464, -122.41983411415293 37.807218022693746, -122.41983177321765 37.80720512191897, -122.4198291480966 37.80719225891579, -122.41982624058846 37.80717943098608, -122.41982305159246 37.80716664622389, -122.41981958200802 37.80715390732712, -122.41981583363372 37.80714121789305, -122.41981180467093 37.80712858511623, -122.4198074996163 37.80711600719815, -122.41980291936915 37.80710349133318, -122.4197980630301 37.80709104111878, -122.41979293419644 37.80707866015217, -122.41978753376759 37.80706635203069, -122.41978186264276 37.807054120351495, -122.41977592531862 37.80704196871204, -122.41976971999651 37.807029901608814, -122.41976325117304 37.80701792263915, -122.41975651884815 37.8070060362997, -122.41974952571996 37.80699424169103, -122.4197422753856 37.806982546907136, -122.41973476784517 37.806970956444616, -122.4197270066959 37.80695946940415, -122.41971899643443 37.806948092080916, -122.41971073436281 37.80693682717299, -122.41970222677628 37.80692568007623, -122.4196934745741 37.806914650790645, -122.41968448225293 37.80690374291356, -122.41967524981283 37.806892963639484, -122.41966578264964 37.806882312968526, -122.41965155897219 37.80686702179577, -122.4204610576316 37.80676595598425, -122.42060602834545 37.807507151134246, -122.41991160243839 37.80759641244464)))",0010002,Haslett Warehouse Building,680 Beach Street,59,1974,https://sfplanninggis.org/docs/landmarks_and_districts/LM59.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/59.jpg,https://sfplanninggis.org/pim?search=0010/002
"MULTIPOLYGON (((-122.3755786399422 37.73133760904358, -122.37572972784454 37.73117019664738, -122.37594070699794 37.73128998274666, -122.37578961819622 37.73145739604212, -122.37573925526232 37.73151319987443, -122.37553779992942 37.73173641520356, -122.3753268216754 37.73161662820496, -122.3755282770083 37.73139341287583, -122.3755786399422 37.73133760904358)))",4654013,Hunters Point Springs & Albion Brewery,881 Innes Avenue,60,1974,https://sfplanninggis.org/docs/landmarks_and_districts/LM60.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/60.jpg,https://sfplanninggis.org/pim?search=4654/013
"MULTIPOLYGON (((-122.38889502378623 37.73141590312156, -122.38909587297604 37.73119234425144, -122.38925420581683 37.731282074108606, -122.38905335662702 37.731505632978724, -122.3889741893073 37.73146076760048, -122.38889502378623 37.73141590312156)))",5340006,Sylvester House,1556 Revere Avenue,61,1974,https://sfplanninggis.org/docs/landmarks_and_districts/LM61.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/61.jpg,https://sfplanninggis.org/pim?search=5340/006
"MULTIPOLYGON (((-122.43819336273339 37.77255901618577, -122.43827875336166 37.77254807323516, -122.43835485039591 37.772922168723255, -122.43818406913937 37.77294405732255, -122.43810797300443 37.77256996003575, -122.43819336273339 37.77255901618577)))",1218029,Old Mish House,1153 Oak Street,62,1974,https://sfplanninggis.org/docs/landmarks_and_districts/LM62.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/62.jpg,https://sfplanninggis.org/pim?search=1218/029
"MULTIPOLYGON (((-122.3884857809939 37.735576591386746, -122.38862657615545 37.73565629919898, -122.38842526741206 37.73587960356099, -122.38828447314984 37.735799894849436, -122.3884857809939 37.735576591386746)))",5295031,Quinn House,1562 Mckinnon Avenue,63,1974,https://sfplanninggis.org/docs/landmarks_and_districts/LM63.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/63.jpg,https://sfplanninggis.org/pim?search=5295/031
"MULTIPOLYGON (((-122.40254161530322 37.79345113516189, -122.40277653620808 37.793421194033044, -122.40279188673611 37.79349572804557, -122.4025569658312 37.79352567097311, -122.40254161530322 37.79345113516189)))",0239012,A. Borel & Company Building,440 Montgomery Street,109,1980,https://sfplanninggis.org/docs/landmarks_and_districts/LM109.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/109.jpg,https://sfplanninggis.org/pim?search=0239/012
"MULTIPOLYGON (((-122.41168410163988 37.79184356103167, -122.41183520393145 37.7925859441861, -122.41111162919822 37.79267490512291, -122.41095832806428 37.79193511381459, -122.41168410163988 37.79184356103167)))",0245001,Old Flood Mansion -Pacific Union Club,1000 California Street,64,1974,https://sfplanninggis.org/docs/landmarks_and_districts/LM64.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/64.jpg,https://sfplanninggis.org/pim?search=0245/001
"MULTIPOLYGON (((-122.42463389214032 37.788242689049014, -122.42513785422852 37.78817839022065, -122.42520349214738 37.788503807205075, -122.42469952736121 37.78856810603344, -122.42463389214032 37.788242689049014)))",0665015,Trinity Episcopal Church,1668 Bush Street,65,1974,https://sfplanninggis.org/docs/landmarks_and_districts/LM65.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/65.jpg,https://sfplanninggis.org/pim?search=0665/015
"MULTIPOLYGON (((-122.43053396726867 37.78748978112867, -122.43064186433048 37.7874760089108, -122.43071725359829 37.78784885883789, -122.43070759398017 37.78785009180842, -122.43062302173496 37.787860887270256, -122.43059944600753 37.787744285670385, -122.43058577990973 37.78774603125447, -122.43058358736255 37.78773518363198, -122.43053396726867 37.78748978112867)))",0661033,Stanyan House,2006 Bush Street,66,1975,https://sfplanninggis.org/docs/landmarks_and_districts/LM66.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/66.jpg,https://sfplanninggis.org/pim?search=0661/033
"MULTIPOLYGON (((-122.40579540833136 37.788193954787346, -122.40595205314463 37.78817421376908, -122.40598484422509 37.78833692630826, -122.4059065186708 37.788346797267025, -122.40582819761312 37.78835666822579, -122.40579540833136 37.788193954787346)))",0309019,V. C. Morris Building,140 Maiden Lane,72,1975,https://sfplanninggis.org/docs/landmarks_and_districts/LM72.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/72.jpg,https://sfplanninggis.org/pim?search=0309/019
"MULTIPOLYGON (((-122.43065908275037 37.786895472248375, -122.43073495585344 37.78727289163078, -122.43053945583114 37.78729784422029, -122.43049164427384 37.78706137558214, -122.43045405620961 37.78706615278088, -122.43045076559025 37.787049883145755, -122.43042554590215 37.78692514717795, -122.43053649975957 37.786911049405546, -122.43065908275037 37.786895472248375)))",0676027,Kinmon Gakuen,2031 Bush Street,288,2019,https://sfplanninggis.org/docs/landmarks_and_districts/LM288.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/288.jpg,https://sfplanninggis.org/pim?search=0676027
"MULTIPOLYGON (((-122.42671693513836 37.765972276299635, -122.42670803904468 37.765879466264494, -122.42736218431725 37.76583689865407, -122.42738246492871 37.76592565544479, -122.42737351037908 37.76592628227223, -122.42729500406108 37.76593178162659, -122.42721186893249 37.76593760563611, -122.42708798462269 37.76594628499322, -122.42671693513836 37.765972276299635)))",3557003,Tanforan Cottage,214 Dolores Street,67,1975,https://sfplanninggis.org/docs/landmarks_and_districts/LM67.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/67.jpg,https://sfplanninggis.org/pim?search=3557/003
